ONET_SOC_Code,Base_SOC,ONET_Title,FO_Score,FO_Probability,FO_Occupation,Mapping_Method
43-4131.00,43-4131,Loan Interviewers and Clerks,92.0,0.92,Loan Interviewers and Clerks,direct
43-4141.00,43-4141,New Accounts Clerks,99.0,0.99,New Accounts Clerks,direct
43-4151.00,43-4151,Order Clerks,98.0,0.98,Order Clerks,direct
43-4161.00,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",90.0,0.9,Human Resources Assistants; Except Payroll and Timekeeping,direct
43-4171.00,43-4171,Receptionists and Information Clerks,96.0,0.96,Receptionists and Information Clerks,direct
43-4181.00,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,61.0,0.61,Reservation and Transportation Ticket Agents and Travel Clerks,direct
43-4199.00,43-4199,"Information and Record Clerks, All Other",90.625,0.90625,[Group avg: 43-41],group_avg
43-5011.00,43-5011,Cargo and Freight Agents,99.0,0.99,Cargo and Freight Agents,direct
43-5011.01,43-5011,Freight Forwarders,99.0,0.99,Cargo and Freight Agents,direct
43-5021.00,43-5021,Couriers and Messengers,94.0,0.94,Couriers and Messengers,direct
43-5031.00,43-5031,Public Safety Telecommunicators,49.0,0.49,Police; Fire; and Ambulance Dispatchers,direct
43-5032.00,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",96.0,0.96,Dispatchers; Except Police; Fire; and Ambulance,direct
43-5041.00,43-5041,"Meter Readers, Utilities",85.0,0.85,Meter Readers; Utilities,direct
43-5051.00,43-5051,Postal Service Clerks,95.0,0.95,Postal Service Clerks,direct
43-5052.00,43-5052,Postal Service Mail Carriers,68.0,0.68,Postal Service Mail Carriers,direct
43-5053.00,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",79.0,0.79,Postal Service Mail Sorters; Processors; and Processing Machine Operators,direct
43-5061.00,43-5061,"Production, Planning, and Expediting Clerks",88.0,0.88,Production; Planning; and Expediting Clerks,direct
43-5071.00,43-5071,"Shipping, Receiving, and Inventory Clerks",98.0,0.98,Shipping; Receiving; and Traffic Clerks,direct
43-5111.00,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",95.0,0.95,Weighers; Measurers; Checkers; and Samplers; Recordkeeping,direct
43-6011.00,43-6011,Executive Secretaries and Executive Administrative Assistants,86.0,0.86,Executive Secretaries and Executive Administrative Assistants,direct
43-6012.00,43-6012,Legal Secretaries and Administrative Assistants,98.0,0.98,Legal Secretaries,direct
43-6013.00,43-6013,Medical Secretaries and Administrative Assistants,81.0,0.81,Medical Secretaries,direct
43-6014.00,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",96.0,0.96,Secretaries and Administrative Assistants; Except Legal; Medical; and Executive,direct
43-9021.00,43-9021,Data Entry Keyers,99.0,0.99,Data Entry Keyers,direct
43-9022.00,43-9022,Word Processors and Typists,81.0,0.81,Word Processors and Typists,direct
43-9031.00,43-9031,Desktop Publishers,16.0,0.16,Desktop Publishers,direct
43-9041.00,43-9041,Insurance Claims and Policy Processing Clerks,98.0,0.98,Insurance Claims and Policy Processing Clerks,direct
43-9051.00,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",94.0,0.94,Mail Clerks and Mail Machine Operators; Except Postal Service,direct
43-9061.00,43-9061,"Office Clerks, General",96.0,0.96,Office Clerks; General,direct
