SOC_Code,Occupation,Probability,FO_Score,Original_SOC,Match_Method
41-2012,Gaming Change Persons and Booth Cashiers,0.83,83.0,41-2012,direct
41-2021,Counter and Rental Clerks,0.97,97.0,41-2021,direct
41-2022,Parts Salespersons,0.98,98.0,41-2022,direct
41-2031,Retail Salespersons,0.92,92.0,41-2031,direct
41-3011,Advertising Sales Agents,0.54,54.0,41-3011,direct
41-3021,Insurance Sales Agents,0.92,92.0,41-3021,direct
41-3031,Securities; Commodities; and Financial Services Sales Agents,0.016,1.6,41-3031,direct
41-3041,Travel Agents,0.099,9.9,41-3041,direct
41-4011,Sales Representatives; Wholesale and Manufacturing; Technical and Scientific Products,0.25,25.0,41-4011,direct
41-4012,Sales Representatives; Wholesale and Manufacturing; Except Technical and Scientific Products,0.85,85.0,41-4012,direct
41-9011,Demonstrators and Product Promoters,0.51,51.0,41-9011,direct
41-9012,Models,0.98,98.0,41-9012,direct
41-9021,Real Estate Brokers,0.97,97.0,41-9021,direct
41-9022,Real Estate Sales Agents,0.86,86.0,41-9022,direct
41-9031,Sales Engineers,0.0041,0.41,41-9031,direct
41-9041,Telemarketers,0.99,99.0,41-9041,direct
41-9091,Door-to-Door Sales Workers; News and Street Vendors; and Related Workers,0.94,94.0,41-9091,direct
43-1011,First-Line Supervisors of Office and Administrative Support Workers,0.014,1.4,43-1011,direct
43-2011,Switchboard Operators; Including Answering Service,0.96,96.0,43-2011,direct
43-2021,Telephone Operators,0.97,97.0,43-2021,direct
43-3011,Bill and Account Collectors,0.95,95.0,43-3011,direct
43-3021,Billing and Posting Clerks,0.96,96.0,43-3021,direct
43-3031,Bookkeeping; Accounting; and Auditing Clerks,0.98,98.0,43-3031,direct
43-3041,Gaming Cage Workers,0.39,39.0,43-3041,direct
43-3051,Payroll and Timekeeping Clerks,0.97,97.0,43-3051,direct
43-3061,Procurement Clerks,0.98,98.0,43-3061,direct
43-3071,Tellers,0.98,98.0,43-3071,direct
43-4011,Brokerage Clerks,0.98,98.0,43-4011,direct
43-4021,Correspondence Clerks,0.86,86.0,43-4021,direct
43-4031,Court; Municipal; and License Clerks,0.46,46.0,43-4031,direct
43-4041,Credit Authorizers; Checkers; and Clerks,0.97,97.0,43-4041,direct
43-4051,Customer Service Representatives,0.55,55.0,43-4051,direct
43-4061,Eligibility Interviewers; Government Programs,0.7,70.0,43-4061,direct
43-4071,File Clerks,0.97,97.0,43-4071,direct
43-4081,Hotel; Motel; and Resort Desk Clerks,0.94,94.0,43-4081,direct
43-4111,Interviewers; Except Eligibility and Loan,0.94,94.0,43-4111,direct
